WT_rank,Gene,Protein,UniProt,WT/293T log2 enrichment,WT/293T q,RING comparison,Cellular role,Pathway module(s),Module name(s),Specific terms (n),Shares pathways with,Remaining at 15 h,Derived t1/2 (h),Stability call,Decay fit R2,N-degron class,MW (kDa),Razor+unique peptides
11,BANF1,Barrier-to-autointegration factor,O75531,8.78,4.04861635574828e-07,WT-preferring (RING-dependent binding),Histones & chromatin,M4,M4 BAF-LAP2b nuclear-envelope complex,1,,1.17,,no decay in 15 h,,Stabilizing,10.058,3
12,H2AC6,Histone H2A type 1-C,Q93077,8.75,0.000157707427805,WT-preferring (RING-dependent binding),Histones & chromatin,M1;M2;M3,M1 mRNA silencing & RNP granules | M2 ATP-dependent chromatin remodeling | M3 Nucleosome / histone core,13,BCL9;H2BC13;H3-7;MACROH2A1;NCOA1;NCOA2;SMARCA5;TLE4;TNRC6B;TNRC6C,,,not quantified,,Stabilizing,14.105,1
13,RAI1,Retinoic acid-induced protein 1,Q7Z5J4,8.7,0.0079048177270227,WT-preferring (RING-dependent binding),Transcription & coregulators,,,0,,0.859,81.2,t1/2 > 15 h assay (extrapolated),0.62,Stabilizing,203.35,6
14,TAB2,TGF-beta-activated kinase 1 and MAP3K7-binding protein 2,Q9NYJ8,8.55,0.0002524375346273,WT-preferring (RING-dependent binding),mTOR & signaling,,,0,,0.85,63.7,t1/2 > 15 h assay (extrapolated),0.54,Stabilizing,76.493,5
15,SMARCA1,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 1,P28370,8.53,0.0019442236055115,WT-preferring (RING-dependent binding),Chromatin remodeling / DNA modification,M2,M2 ATP-dependent chromatin remodeling,7,CHD7;SMARCA5,0.71,31.5,t1/2 > 15 h assay (extrapolated),0.95,Stabilizing,121.14,9
16,TLE4,Transducin-like enhancer protein 4,Q04727,8.27,0.0003987678084711,WT-preferring (RING-dependent binding),Transcription & coregulators,M1;M3,M1 mRNA silencing & RNP granules | M3 Nucleosome / histone core,2,BCL9;H2AC6;H2BC13,0.79,41.9,t1/2 > 15 h assay (extrapolated),0.94,Stabilizing,83.754,3
17,ISL1,Insulin gene enhancer protein ISL-1,P61371,7.79,0.0002524375346273,WT-preferring (RING-dependent binding),Transcription & coregulators,,,0,,0.25,7.7,t1/2 within assay window,0.97,Stabilizing,39.035,2
18,TET1,Methylcytosine dioxygenase TET1,Q8NFU7,7.78,0.0001119262170187,WT-preferring (RING-dependent binding),Chromatin remodeling / DNA modification,M2,M2 ATP-dependent chromatin remodeling,2,BLM;POLE;SMARCA5,0.399,11.6,t1/2 within assay window,0.93,Stabilizing,235.31,1
19,OTUD4,OTU domain-containing protein 4,Q01804,7.69,0.0030087284114312,WT-preferring (RING-dependent binding),Ubiquitin & proteostasis,,,0,,1.045,,no decay in 15 h,,Stabilizing,124.04,4
20,N4BP2L2,NEDD4-binding protein 2-like 2,Q92802,7.56,0.0100353371967442,WT-preferring (RING-dependent binding),Ubiquitin & proteostasis,,,0,,0.6,21.8,t1/2 > 15 h assay (extrapolated),0.36,Stabilizing,67.458,3
21,LRCH3,DISP complex protein LRCH3,Q96II8,7.48,0.0033175599104834,WT-preferring (RING-dependent binding),Cytoskeleton & structural,,,0,,0.744,33.9,t1/2 > 15 h assay (extrapolated),0.85,Stabilizing,86.082,5
22,LARP1B,La-related protein 1B,Q659C4,7.48,0.0140698551140717,WT-preferring (RING-dependent binding),mRNA silencing & translation,M1,M1 mRNA silencing & RNP granules,3,DCP1A;GIGYF2;MCRIP2;TNRC6B;TNRC6C;UBAP2L,0.806,52.2,t1/2 > 15 h assay (extrapolated),0.58,Stabilizing,105.32,7
23,TNPO1,Transportin-1,Q92973,7.18,0.0134254484634336,WT-preferring (RING-dependent binding),"Protein folding, ER & transport",,,0,,0.962,206.3,t1/2 > 15 h assay (extrapolated),0.31,Stabilizing,102.35,6
24,CLECL1P,Putative C-type lectin-like domain family 1,Q8IZS7,7.07,0.0023114977540016,WT-preferring (RING-dependent binding),Mitochondria & other,,,0,,,,not quantified,,Stabilizing,19.115,1
25,MACROH2A1,Core histone macro-H2A.1,O75367,6.85,0.0020459587740095,WT-preferring (RING-dependent binding),Histones & chromatin,M2;M3,M2 ATP-dependent chromatin remodeling | M3 Nucleosome / histone core,5,H2AC6;H2BC13;H3-7;SMARCA5,0.902,87.0,t1/2 > 15 h assay (extrapolated),0.58,Stabilizing,39.183,2
26,FRG1,Protein FRG1,Q14331,6.79,0.0058136818716212,WT-preferring (RING-dependent binding),RNA processing & splicing,,,0,,0.831,52.8,t1/2 > 15 h assay (extrapolated),0.72,Stabilizing,29.172,4
27,GPHN,Gephyrin,Q9NQX3,6.74,0.0020140639979575,WT-preferring (RING-dependent binding),Cytoskeleton & structural,,,0,,0.972,424.7,t1/2 > 15 h assay (extrapolated),0.29,Stabilizing,79.748,3
28,TMPO,"Lamina-associated polypeptide 2, isoform alpha",P42166,6.71,0.0079048177270227,WT-preferring (RING-dependent binding),Histones & chromatin,M4,M4 BAF-LAP2b nuclear-envelope complex,1,,0.867,67.5,t1/2 > 15 h assay (extrapolated),0.89,Stabilizing,75.491,4
29,RBM6,RNA-binding protein 6,P78332,6.18,0.0273405248864379,WT-preferring (RING-dependent binding),RNA processing & splicing,,,0,,0.923,120.0,t1/2 > 15 h assay (extrapolated),0.82,Stabilizing,128.64,69
30,EIF3G,Eukaryotic translation initiation factor 3 subunit G,O75821,6.08,0.0068561637909199,WT-preferring (RING-dependent binding),mRNA silencing & translation,,,0,,1.144,,no decay in 15 h,,Stabilizing,35.611,3
31,UFD1,Ubiquitin recognition factor in ER-associated degradation protein 1,Q92890,5.77,0.0079048177270227,WT-preferring (RING-dependent binding),Ubiquitin & proteostasis,M2,M2 ATP-dependent chromatin remodeling,1,,0.521,16.2,t1/2 > 15 h assay (extrapolated),0.99,Stabilizing,34.5,2
32,POLE,DNA polymerase epsilon catalytic subunit A,Q07864,5.4,0.0030087284114312,RING-preferring (candidate trapped substrate),DNA replication & repair,M2,M2 ATP-dependent chromatin remodeling,3,BLM;SMARCA5;TET1,0.474,14.5,t1/2 within assay window,0.91,Stabilizing,261.51,6
33,TNRC6C,Trinucleotide repeat-containing gene 6C protein,Q9HCJ0,5.23,0.0342033026107452,WT-preferring (RING-dependent binding),mRNA silencing & translation,M1,M1 mRNA silencing & RNP granules,12,DCP1A;GIGYF2;H2AC6;H2BC13;LARP1B;NCOA1;NCOA2;TNRC6B;UBAP2,,,not quantified,,Stabilizing,201.83,44
34,MVB12A,Multivesicular body subunit 12A,Q96EY5,5.04,0.0166012385170057,WT-preferring (RING-dependent binding),"Protein folding, ER & transport",,,0,,0.687,27.3,t1/2 > 15 h assay (extrapolated),0.82,Stabilizing,28.783,1
35,GCFC2,Intron Large complex component GCFC2,P16383,4.69,0.0035756565519284,shared / RING-independent,RNA processing & splicing,,,0,,1.014,,no decay in 15 h,,Stabilizing,89.384,3
36,CCHCR1,Coiled-coil alpha-helical rod protein 1,Q8TD31,4.28,0.0133125507406319,WT-preferring (RING-dependent binding),Cytoskeleton & structural,,,0,,0.239,7.6,t1/2 within assay window,0.85,Stabilizing,88.67,1
37,H3C1,Histone H3.1,P68431,4.26,0.0048613652308072,WT-preferring (RING-dependent binding),Histones & chromatin,,,0,,,,not quantified,,Stabilizing,15.404,5
38,H4C1,Histone H4,P62805,3.94,0.0026025030838399,WT-preferring (RING-dependent binding),Histones & chromatin,,,0,,1.195,,no decay in 15 h,,Stabilizing,11.367,13
39,CSTF2T,Cleavage stimulation factor subunit 2 tau variant,Q9H0L4,3.71,0.0170701072784166,WT-preferring (RING-dependent binding),RNA processing & splicing,,,0,,0.907,95.3,t1/2 > 15 h assay (extrapolated),0.75,Stabilizing,64.436,8
40,NCOA2,Nuclear receptor coactivator 2,Q15596,3.38,0.0147571071738443,WT-preferring (RING-dependent binding),Transcription & coregulators,M1,M1 mRNA silencing & RNP granules,5,H2AC6;H2BC13;NCOA1;TNRC6B;TNRC6C,0.746,35.1,t1/2 > 15 h assay (extrapolated),0.94,Stabilizing,159.15,34
41,TNRC6B,Trinucleotide repeat-containing gene 6B protein,Q9UPQ9,3.36,0.0494192471888898,WT-preferring (RING-dependent binding),mRNA silencing & translation,M1,M1 mRNA silencing & RNP granules,12,DCP1A;GIGYF2;H2AC6;H2BC13;LARP1B;NCOA1;NCOA2;TNRC6C;UBAP2,0.829,56.7,t1/2 > 15 h assay (extrapolated),0.92,Stabilizing,194.0,81
42,PSPC1,Paraspeckle component 1,Q8WXF1,3.2,0.0144841306460209,WT-preferring (RING-dependent binding),RNA processing & splicing,,,0,,0.773,39.7,t1/2 > 15 h assay (extrapolated),0.95,Stabilizing,58.743,42
43,GIGYF2,GRB10-interacting GYF protein 2,Q6Y7W6,3.08,0.0170680153539315,WT-preferring (RING-dependent binding),mRNA silencing & translation,M1,M1 mRNA silencing & RNP granules,3,DCP1A;LARP1B;MCRIP2;TNRC6B;TNRC6C;UBAP2L,0.936,175.0,t1/2 > 15 h assay (extrapolated),0.32,Stabilizing,150.07,45
44,H2AC18,Histone H2A type 2-A,Q6FI13,2.77,0.0180977308602552,WT-preferring (RING-dependent binding),Histones & chromatin,,,0,,0.452,13.2,t1/2 within assay window,0.97,Stabilizing,14.095,9
45,KHDRBS1,"KH domain-containing, RNA-binding, signal transduction-associated protein 1",Q07666,2.6,0.0164273525824118,WT-preferring (RING-dependent binding),RNA processing & splicing,,,0,,0.752,35.7,t1/2 > 15 h assay (extrapolated),0.86,Stabilizing,48.227,14
46,FTSJ3,pre-rRNA 2-O-ribose RNA methyltransferase FTSJ3,Q8IY81,2.44,0.0005395071609727,RING-preferring (candidate trapped substrate),RNA processing & splicing,,,0,,1.114,,no decay in 15 h,,Stabilizing,96.557,7
47,H2BC13,Histone H2B type 1-L,Q99880,2.4,0.0068561637909199,WT-preferring (RING-dependent binding),Histones & chromatin,M1;M2;M3,M1 mRNA silencing & RNP granules | M2 ATP-dependent chromatin remodeling | M3 Nucleosome / histone core,12,BCL9;H2AC6;H3-7;MACROH2A1;NCOA1;NCOA2;TLE4;TNRC6B;TNRC6C,0.904,90.9,t1/2 > 15 h assay (extrapolated),0.58,Stabilizing,13.952,7
48,UBAP2,Ubiquitin-associated protein 2,Q5T6F2,1.96,0.0058136818716212,WT-preferring (RING-dependent binding),Ubiquitin & proteostasis,M1,M1 mRNA silencing & RNP granules,2,DCP1A;TNRC6B;TNRC6C,0.945,202.6,t1/2 > 15 h assay (extrapolated),0.43,Stabilizing,117.11,14
49,NCOA1,Nuclear receptor coactivator 1,Q15788,1.94,0.0275363819198828,WT-preferring (RING-dependent binding),Transcription & coregulators,M1,M1 mRNA silencing & RNP granules,6,H2AC6;H2BC13;NCOA2;TNRC6B;TNRC6C,0.734,33.3,t1/2 > 15 h assay (extrapolated),0.64,Stabilizing,156.75,13
50,UBAP2L,Ubiquitin-associated protein 2-like,Q14157,1.83,0.0259614716660877,WT-preferring (RING-dependent binding),Ubiquitin & proteostasis,M1,M1 mRNA silencing & RNP granules,2,GIGYF2;LARP1B;MCRIP2,0.86,73.3,t1/2 > 15 h assay (extrapolated),0.71,Stabilizing,114.53,29
